,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access
45959,ELEC,DEC EMPLOYEE DEC EMPLOYEE 1,14198 Sussex Hwy,,Greenwood,DE,19950,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.79114,-75.5918,3/17/2022,201169,2022-03-17 00:32:36 UTC,,,,11/16/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
45968,ELEC,NEMOURS PATIENTGARAGE1,1600 Rockland Rd,,Wilmington,DE,19803,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.778385,-75.555335,3/17/2022,201180,2022-03-17 00:32:36 UTC,,,,11/16/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
45990,ELEC,DEC EMPLOYEE DEC EMPLOYEE 2,14198 Sussex Hwy,,Greenwood,DE,19950,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.791039,-75.5918,3/17/2022,201209,2022-03-17 00:32:36 UTC,,,,11/17/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
46124,ELEC,BRANCH BRANDYWINE,3 Mt Lebanon Rd,,Wilmington,DE,19803,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.80711,-75.55094,3/17/2022,201418,2022-03-17 00:32:36 UTC,,,,11/19/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
46209,ELEC,BRANCH CENTRAL,501 W 11th St,,Wilmington,DE,19801,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.748745,-75.55178,3/17/2022,201571,2022-03-17 00:32:36 UTC,,,,11/24/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
46329,ELEC,ABESSINIO LLC SALESIANUM ST1,1801 N Broom St,,Wilmington,DE,19802,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.761063,-75.549416,3/17/2022,201813,2022-03-17 00:32:36 UTC,,,,12/1/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
46712,ELEC,DelDOT Construction Office,80 Chapman Road,2 Chargers located in gated access area along side of building. Gate is open 7am to 3pm on weekdays.,Newark,DE,19713,,800-663-5633,E,,Public,MO: 07:00am-03:00pm; TU: 07:00am-03:00pm; WE: 07:00am-03:00pm; TH: 07:00am-03:00pm; FR: 07:00am-03:00pm; SA: Closed; SU: Closed,,,,,,2.0,,,SemaCharge Network,https://semaconnect.com/,GPS,39.6660728,-75.6893088,3/17/2022,202282,2022-03-17 00:22:38 UTC,,,,12/10/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,
46993,ELEC,High/Spring Street EV Charger,405 High Street,Parking space on corner of High/Spring Street,Seaford,DE,19973,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,2.0,,,SemaCharge Network,https://semaconnect.com/,GPS,38.6413834,-75.610232,3/17/2022,202708,2022-03-17 00:22:38 UTC,,,,12/17/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,$1.00/Hr Parking Fee,,,,,,,,,,
47165,ELEC,DIVER CHEVY EXTERNAL FAST,1301 N Grant Ave,,Wilmington,DE,19806,,888-758-4389,E,,Public,24 hours daily,,,,,,,1.0,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.757682,-75.568278,3/17/2022,202959,2022-03-17 00:32:36 UTC,,,,12/23/2021,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
48311,ELEC,DE TRANSIT CORP DOVER ADMIN 1,900 Public Safety Blvd,,Dover,DE,19901,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.149655,-75.507626,3/17/2022,205693,2022-03-17 00:32:36 UTC,,,,2/2/2022,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
48312,ELEC,DE TRANSIT CORP DOVER ADMIN 2,900 Public Safety Blvd,,Dover,DE,19901,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.149731,-75.507665,3/17/2022,205694,2022-03-17 00:32:36 UTC,,,,2/2/2022,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
48433,ELEC,0064625DEL#1LOC,625 Delaware Street,,New Castle,DE,19720,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1.0,,,SemaCharge Network,https://semaconnect.com/,GPS,39.6630687,-75.5677546,3/17/2022,205898,2022-03-17 00:22:38 UTC,,,,2/5/2022,,,,,J1772,US,,,,Public,,public,,,,,,,,,,$0.30/kWh Energy Fee,,,,,,,,,,
48434,ELEC,0064625DEL#2LOC,625 Delaware Street,,New Castle,DE,19720,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1.0,,,SemaCharge Network,https://semaconnect.com/,GPS,39.6630687,-75.5677546,3/17/2022,205899,2022-03-17 00:22:38 UTC,,,,2/5/2022,,,,,J1772,US,,,,Public,,public,,,,,,,,,,$0.30/kWh Energy Fee,,,,,,,,,,
48497,ELEC,"DelDOT, Maintenance & Operations - Equipment Management",800 South Bay Road,,Dover,DE,19901,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,2.0,,,SemaCharge Network,https://semaconnect.com/,GPS,39.1486337,-75.5050131,3/17/2022,205978,2022-03-17 00:22:38 UTC,,,,2/8/2022,,,,,J1772,US,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,
48828,ELEC,Christiana Hospital MAP2 Rear Parking,4735 Ogletown Stanton Rd,,Newark,DE,19713,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,8.0,,,SemaCharge Network,https://semaconnect.com/,GPS,39.6855886,-75.6730825,3/17/2022,206463,2022-03-17 00:22:38 UTC,,,,2/17/2022,,,,,J1772,US,,,,Public,,public,,,,,,,,,,$0.08/kWh Energy Fee,,,,,,,,,,
49396,ELEC,Wawa - Tesla Supercharger,22929 Sussex Hwy,,Seaford,DE,19973,,877-798-3752,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,,,,,8.0,,Tesla,https://www.tesla.com/supercharger,GPS,38.658528,-75.592966,,207549,2022-03-17 21:56:28 UTC,P,,,2/25/2022,,,,,TESLA,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,,,,,,,,
